ncbi_id,reactome_id,reactome_name
100861532,R-HSA-73863,RNA Polymerase I Transcription Termination
100861540,R-HSA-211981,Xenobiotics
10087,R-HSA-1660661,Sphingolipid de novo biosynthesis
10089,R-HSA-1299308,Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)
10089,R-HSA-5576886,Phase 4 - resting membrane potential
1009,R-HSA-418990,Adherens junctions interactions
1009,R-HSA-9759811,Regulation of CDH11 mRNA translation by microRNAs
1009,R-HSA-9762292,Regulation of CDH11 function
1009,R-HSA-9833576,CDH11 homotypic and heterotypic interactions
10090,R-HSA-2022870,CS-GAG biosynthesis
10090,R-HSA-2022923,DS-GAG biosynthesis
100913187,R-HSA-72200,mRNA Editing: C to U Conversion
100913187,R-HSA-75094,Formation of the Editosome
10092,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10092,R-HSA-3928662,EPHB-mediated forward signaling
10092,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10092,R-HSA-6798695,Neutrophil degranulation
10092,R-HSA-8856828,Clathrin-mediated endocytosis
10092,R-HSA-9664422,FCGR3A-mediated phagocytosis
10093,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10093,R-HSA-3928662,EPHB-mediated forward signaling
10093,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10093,R-HSA-8856828,Clathrin-mediated endocytosis
10093,R-HSA-9664422,FCGR3A-mediated phagocytosis
10094,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10094,R-HSA-3928662,EPHB-mediated forward signaling
10094,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10094,R-HSA-8856828,Clathrin-mediated endocytosis
10094,R-HSA-9664422,FCGR3A-mediated phagocytosis
10095,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10095,R-HSA-3928662,EPHB-mediated forward signaling
10095,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10095,R-HSA-9664422,FCGR3A-mediated phagocytosis
10096,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10096,R-HSA-3928662,EPHB-mediated forward signaling
10096,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10096,R-HSA-8856828,Clathrin-mediated endocytosis
10096,R-HSA-9664422,FCGR3A-mediated phagocytosis
10097,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10097,R-HSA-3928662,EPHB-mediated forward signaling
10097,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10097,R-HSA-6798695,Neutrophil degranulation
10097,R-HSA-8856828,Clathrin-mediated endocytosis
10097,R-HSA-9664422,FCGR3A-mediated phagocytosis
10098,R-HSA-977225,Amyloid fiber formation
100996717,R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus
100996717,R-HSA-9911233,Expression of NOTCH2NL genes
100996758,R-HSA-375276,Peptide ligand-binding receptors
100996758,R-HSA-418594,G alpha (i) signalling events
100996763,R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus
100996763,R-HSA-9911233,Expression of NOTCH2NL genes
100996939,R-HSA-6799198,Complex I biogenesis
101,R-HSA-1474228,Degradation of the extracellular matrix
101,R-HSA-6798695,Neutrophil degranulation
1010,R-HSA-418990,Adherens junctions interactions
10101,R-HSA-2564830,Cytosolic iron-sulfur cluster assembly
10102,R-HSA-5389840,Mitochondrial translation elongation
101059918,R-HSA-9013148,CDC42 GTPase cycle
101059918,R-HSA-9013405,RHOD GTPase cycle
10106,R-HSA-381038,XBP1(S) activates chaperone genes
101060233,R-HSA-2187335,The retinoid cycle in cones (daylight vision)
101060233,R-HSA-418594,G alpha (i) signalling events
101060233,R-HSA-419771,Opsins
101060233,R-HSA-9918436,Defective visual phototransduction due to OPN1MW loss of function
10107,R-HSA-877300,Interferon gamma signaling
10109,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
10109,R-HSA-3928662,EPHB-mediated forward signaling
10109,R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs
10109,R-HSA-8856828,Clathrin-mediated endocytosis
10109,R-HSA-9664422,FCGR3A-mediated phagocytosis
10110,R-HSA-2672351,Stimuli-sensing channels
10111,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence
10111,R-HSA-5685938,HDR through Single Strand Annealing (SSA)
10111,R-HSA-5685939,HDR through MMEJ (alt-NHEJ)
10111,R-HSA-5685942,HDR through Homologous Recombination (HRR)
10111,R-HSA-5693548,Sensing of DNA Double Strand Breaks
10111,R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
10111,R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
10111,R-HSA-5693568,Resolution of D-loop Structures through Holliday Junction Intermediates
10111,R-HSA-5693571,Nonhomologous End-Joining (NHEJ)
10111,R-HSA-5693579,Homologous DNA Pairing and Strand Exchange
10111,R-HSA-5693607,Processing of DNA double-strand break ends
10111,R-HSA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange
10111,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation
10111,R-HSA-69473,G2/M DNA damage checkpoint
10111,R-HSA-912446,Meiotic recombination
10111,R-HSA-9701192,Defective homologous recombination repair (HRR) due to BRCA1 loss of function
10111,R-HSA-9704331,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function
10111,R-HSA-9704646,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function
10111,R-HSA-9709570,Impaired BRCA2 binding to RAD51
10111,R-HSA-9709603,Impaired BRCA2 binding to PALB2
10112,R-HSA-2132295,MHC class II antigen presentation
10112,R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic
10112,R-HSA-68884,Mitotic Telophase/Cytokinesis
10112,R-HSA-983189,Kinesins
10113,R-HSA-204005,COPII-mediated vesicle transport
10113,R-HSA-381038,XBP1(S) activates chaperone genes
10113,R-HSA-5694530,Cargo concentration in the ER
10116,R-HSA-8951664,Neddylation
10117,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
10117,R-HSA-8957275,Post-translational protein phosphorylation
1012,R-HSA-418990,Adherens junctions interactions
10120,R-HSA-2132295,MHC class II antigen presentation
10120,R-HSA-6798695,Neutrophil degranulation
10121,R-HSA-2132295,MHC class II antigen presentation
10121,R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition
10121,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
